"filename","loc","nofe","nofeo","nofc","lof","lofmin","lofmax","lofmean","lofstd","nnimax","nnimean","nnistd","uscode","uderiv","udesc","scode","deriv","desc","het","hom","hethom","sdegmean","sdegstd","tdegmean","tdegstd","gotopbgr","gofunbgr","gostrbrl","gostrbrg","goinnbgr","goexpbgr","gostmbgr","gopambgr","goerror","logic","l_and","l_or","l_not","comp","c_lt","c_le","c_gt","c_ge","c_ne","c_eq","arith","a_plus","a_minus","a_mult","a_div","a_mod","a_shiftr","a_shiftl","bit","b_or","b_and"
"run-func.c.xml",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"errors.c.xml",577,13,9,7,149,0,70,7.84,16.39,2,1.25,0.45,0,0,0,0,4,0,13,0,0,0,0,0,0,4,13,0,0,2,0,0,0,0,14,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"_fileio.c.xml",725,19,12,13,109,1,28,3.89,5.88,2,1.24,0.44,2,1,0,2,8,0,19,0,0,0,0,0,0,5,11,2,1,7,0,0,0,2,19,9,2,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"py_curses.h.xml",73,19,7,15,23,0,6,1.1,1.18,4,2.17,1.2,0,0,0,0,12,0,19,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,36,23,0,13,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"example.c.xml",411,5,5,4,67,1,62,13.4,27.17,1,1,0,1,0,0,2,0,0,5,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cjkcodecs.h.xml",218,6,6,3,59,1,30,7.38,11.45,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Nav.c.xml",786,3,3,1,56,1,30,4.31,8.11,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0,1,2,0,0,6,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"riscosmodule.c.xml",511,50,50,50,50,1,1,1,0,1,1,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"modsupport.h.xml",57,8,6,6,14,0,7,1.56,2.13,2,1.14,0.38,0,0,0,0,2,0,8,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,7,2,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"moduleobject.c.xml",209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
